year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancelletion_code,air_time,distance,weather_delay
2021,1,3,3/1/2021 12:00:00 AM,MQ,N213NN,3495,DFW,DAY,2005,1957,0.00,0.00,,100.00,861.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N225NN,3358,DFW,CMH,1650,1649,0.00,0.00,,108.00,926.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N231AN,3613,DAY,DFW,0600,0559,0.00,0.00,,168.00,861.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N242NN,3495,DAY,DFW,1658,1649,0.00,0.00,,155.00,861.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N242NN,3838,DFW,DAY,1240,1236,0.00,0.00,,101.00,861.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N244NN,3320,ORD,CLE,1920,1916,0.00,0.00,,50.00,315.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N247NN,3348,CMH,DFW,1130,1126,0.00,0.00,,163.00,926.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N256NN,3476,CMH,ORD,0710,0705,0.00,0.00,,57.00,296.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N286NN,3483,CMH,ORD,1150,1141,0.00,0.00,,59.00,296.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N286NN,3483,ORD,CMH,0850,0847,0.00,0.00,,47.00,296.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N288NN,4135,DFW,CMH,1450,1450,0.00,0.00,,108.00,926.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N291NN,4053,CMH,DFW,0930,0922,0.00,0.00,,174.00,926.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N298FR,3413,CLE,ORD,0705,0659,0.00,0.00,,65.00,315.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N605KS,3477,DAY,ORD,0700,0648,0.00,0.00,,48.00,240.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N622AE,3775,CMH,MIA,0649,0644,0.00,0.00,,140.00,990.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N681AE,3798,MIA,CMH,1922,1916,0.00,0.00,,142.00,990.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N925AE,3874,CLE,ORD,1150,1150,0.00,0.00,,67.00,315.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N925AE,3874,ORD,CLE,0855,0850,0.00,0.00,,47.00,315.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N942LL,3479,ORD,DAY,1915,1907,0.00,0.00,,37.00,240.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N634NK,184,LAX,CLE,1630,1623,0.00,0.00,,240.00,2052.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N637NK,1672,MCO,CMH,0910,0908,0.00,0.00,,111.00,802.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N637NK,1674,CMH,RSW,1220,1218,0.00,0.00,,123.00,930.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N637NK,1675,RSW,CMH,1550,1543,0.00,0.00,,132.00,930.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N638NK,2669,RSW,CLE,1417,1358,0.00,0.00,,138.00,1025.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N638NK,2670,CLE,RSW,1755,1809,14.00,0.00,,134.00,1025.00,
2021,1,3,3/1/2021 12:00:00 AM,NK,N643NK,185,CLE,LAX,1341,1337,0.00,0.00,,284.00,2052.00,
