year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancelletion_code,air_time,distance,weather_delay
2021,1,1,1/1/2021 12:00:00 AM,MQ,N265NN,4053,CMH,DFW,0930,0929,0.00,0.00,,158.00,926.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N268NN,3413,CLE,ORD,0645,0637,0.00,0.00,,62.00,315.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N269NN,3736,DFW,DAY,1650,1653,3.00,0.00,,102.00,861.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N283NN,3476,CMH,ORD,0700,0658,0.00,0.00,,61.00,296.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N300LK,3483,CMH,ORD,1119,1145,26.00,0.00,,56.00,296.00,26.00
2021,1,1,1/1/2021 12:00:00 AM,MQ,N300LK,3483,ORD,CMH,0820,0815,0.00,0.00,,47.00,296.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N300LK,3979,ORD,CLE,1345,1342,0.00,0.00,,50.00,315.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N302RN,4135,DFW,CMH,1450,1445,0.00,0.00,,105.00,926.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N606AE,3479,CMH,MIA,1315,1312,0.00,0.00,,144.00,990.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N606AE,3479,MIA,CMH,1000,0955,0.00,0.00,,138.00,990.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N606AE,3798,MIA,CMH,1915,1909,0.00,0.00,,140.00,990.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N607AE,3357,DAY,ORD,0700,0652,0.00,0.00,,55.00,240.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N696AE,3775,CMH,MIA,0649,0642,0.00,0.00,,146.00,990.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N922AE,3720,ORD,DAY,1305,1412,67.00,0.00,,46.00,240.00,35.00
2021,1,1,1/1/2021 12:00:00 AM,NK,N535NK,1014,RSW,CMH,1053,1517,264.00,0.00,,123.00,930.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,NK,N602NK,534,MCO,CLE,0935,0941,6.00,0.00,,110.00,895.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N602NK,708,CLE,MCO,1245,1247,2.00,0.00,,127.00,895.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N605NK,1168,LAS,CLE,2250,2249,0.00,0.00,,216.00,1824.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N606NK,184,LAX,CLE,2250,2240,0.00,0.00,,240.00,2052.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N613NK,2694,TPA,CAK,1641,1634,0.00,0.00,,113.00,894.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N613NK,2695,CAK,TPA,1945,1938,0.00,0.00,,139.00,894.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,NK,N621NK,1673,CMH,MCO,0815,0811,0.00,0.00,,112.00,802.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N624NK,177,CLE,TPA,0700,0700,0.00,0.00,,130.00,927.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N624NK,178,TPA,CLE,1020,1024,4.00,0.00,,115.00,927.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N624NK,2670,CLE,RSW,1330,1332,2.00,0.00,,144.00,1025.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N630NK,1069,CLE,LAS,0725,0721,0.00,0.00,,229.00,1824.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N634NK,306,LAS,CMH,2353,2351,0.00,0.00,,211.00,1771.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N636NK,1650,ATL,CLE,1357,1424,27.00,0.00,,68.00,554.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N636NK,185,CLE,LAX,1630,1641,11.00,0.00,,261.00,2052.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N654NK,1646,FLL,CLE,0705,0707,2.00,0.00,,132.00,1062.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N654NK,1649,CLE,ATL,1041,1038,0.00,0.00,,93.00,554.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N695NK,2634,CMH,TPA,1647,1710,23.00,0.00,,118.00,829.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,NK,N695NK,2758,TPA,CMH,1340,1336,0.00,0.00,,114.00,829.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N913NK,1015,CMH,RSW,1410,1403,0.00,0.00,,129.00,930.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N913NK,1625,CLE,FLL,2059,2050,0.00,0.00,,145.00,1062.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N913NK,2669,RSW,CLE,1730,1722,0.00,0.00,,145.00,1025.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N913NK,445,CMH,FLL,0630,,,1.00,A,,973.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N924NK,386,MCO,CAK,0700,,,1.00,A,,861.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N924NK,387,CAK,MCO,1010,,,1.00,A,,861.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N925NK,1672,MCO,CMH,1030,1034,4.00,0.00,,109.00,802.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N925NK,205,CMH,LAS,1326,1323,0.00,0.00,,235.00,1771.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N934NK,440,FLL,CLE,2050,2047,0.00,0.00,,138.00,1062.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N935NK,419,CLE,FLL,0750,0802,12.00,0.00,,148.00,1062.00,
2021,1,1,1/1/2021 12:00:00 AM,NK,N935NK,492,FLL,CMH,2045,2041,0.00,0.00,,125.00,973.00,
2021,1,1,1/1/2021 12:00:00 AM,OH,N501BG,5154,PHL,CMH,1210,1209,0.00,0.00,,79.00,406.00,
2021,1,1,1/1/2021 12:00:00 AM,OH,N501BG,5160,CMH,PHL,1745,1738,0.00,0.00,,56.00,406.00,
2021,1,1,1/1/2021 12:00:00 AM,OH,N501BG,5687,PHL,DAY,2115,2106,0.00,0.00,,83.00,477.00,
2021,1,1,1/1/2021 12:00:00 AM,OH,N516AE,5304,CLT,DAY,1625,1618,0.00,0.00,,59.00,370.00,
2021,1,1,1/1/2021 12:00:00 AM,OH,N518AE,5447,CLT,CAK,1300,1253,0.00,0.00,,55.00,394.00,
2021,1,1,1/1/2021 12:00:00 AM,OH,N528EG,5079,DAY,CLT,1344,1333,0.00,0.00,,74.00,370.00,
2021,1,1,1/1/2021 12:00:00 AM,OH,N538EG,5529,DAY,PHL,0931,0921,0.00,0.00,,62.00,477.00,0.00
